CALENDAR_YEAR,LOCATION_ID,GROUPING,SUB,EXPERIENCING_HOMELESSNESS_CNT
OCT 2023 to SEP 2024,CA-523,"Black, African American, or African",Race Alone,17
OCT 2023 to SEP 2024,CA-523,"Black, African American, or African",Race Combination,*
OCT 2023 to SEP 2024,CA-523,Hispanic/Latina/e/o,Race Alone,78
OCT 2023 to SEP 2024,CA-523,Hispanic/Latina/e/o,Race Combination,86
OCT 2023 to SEP 2024,CA-523,Native Hawaiian or Pacific Islander,Race Alone,*
OCT 2023 to SEP 2024,CA-523,Native Hawaiian or Pacific Islander,Race Combination,*
OCT 2023 to SEP 2024,CA-523,White,Race Alone,332
OCT 2023 to SEP 2024,CA-523,White,Race Combination,88
OCT 2023 to SEP 2024,CA-523,Middle Eastern or North African,Race Alone,*
OCT 2023 to SEP 2024,CA-523,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-524,"American Indian, Alaska Native, or Indigenous",Race Alone,66
OCT 2023 to SEP 2024,CA-524,"American Indian, Alaska Native, or Indigenous",Race Combination,96
OCT 2023 to SEP 2024,CA-524,Asian or Asian American,Race Alone,28
OCT 2023 to SEP 2024,CA-524,Asian or Asian American,Race Combination,15
OCT 2023 to SEP 2024,CA-524,"Black, African American, or African",Race Alone,241
OCT 2023 to SEP 2024,CA-524,"Black, African American, or African",Race Combination,56
OCT 2023 to SEP 2024,CA-524,Hispanic/Latina/e/o,Race Alone,348
OCT 2023 to SEP 2024,CA-524,Hispanic/Latina/e/o,Race Combination,242
OCT 2023 to SEP 2024,CA-524,Native Hawaiian or Pacific Islander,Race Alone,13
OCT 2023 to SEP 2024,CA-524,Native Hawaiian or Pacific Islander,Race Combination,13
OCT 2023 to SEP 2024,CA-524,White,Race Alone,1534
OCT 2023 to SEP 2024,CA-524,White,Race Combination,285
OCT 2023 to SEP 2024,CA-524,Middle Eastern or North African,Race Alone,*
OCT 2023 to SEP 2024,CA-524,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-525,"American Indian, Alaska Native, or Indigenous",Race Alone,17
OCT 2023 to SEP 2024,CA-525,"American Indian, Alaska Native, or Indigenous",Race Combination,18
OCT 2023 to SEP 2024,CA-525,Asian or Asian American,Race Alone,*
OCT 2023 to SEP 2024,CA-525,Asian or Asian American,Race Combination,*
OCT 2023 to SEP 2024,CA-525,"Black, African American, or African",Race Alone,24
OCT 2023 to SEP 2024,CA-525,"Black, African American, or African",Race Combination,*
OCT 2023 to SEP 2024,CA-525,Hispanic/Latina/e/o,Race Alone,40
OCT 2023 to SEP 2024,CA-525,Hispanic/Latina/e/o,Race Combination,49
OCT 2023 to SEP 2024,CA-525,Native Hawaiian or Pacific Islander,Race Alone,*
OCT 2023 to SEP 2024,CA-525,Native Hawaiian or Pacific Islander,Race Combination,*
OCT 2023 to SEP 2024,CA-525,White,Race Alone,432
OCT 2023 to SEP 2024,CA-525,White,Race Combination,61
OCT 2023 to SEP 2024,CA-525,Middle Eastern or North African,Race Alone,*
OCT 2023 to SEP 2024,CA-525,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-526,"American Indian, Alaska Native, or Indigenous",Race Alone,15
OCT 2023 to SEP 2024,CA-526,"American Indian, Alaska Native, or Indigenous",Race Combination,48
OCT 2023 to SEP 2024,CA-526,Asian or Asian American,Race Alone,*
OCT 2023 to SEP 2024,CA-526,Asian or Asian American,Race Combination,*
OCT 2023 to SEP 2024,CA-526,"Black, African American, or African",Race Alone,26
OCT 2023 to SEP 2024,CA-526,"Black, African American, or African",Race Combination,13
OCT 2023 to SEP 2024,CA-526,Hispanic/Latina/e/o,Race Alone,44
OCT 2023 to SEP 2024,CA-526,Hispanic/Latina/e/o,Race Combination,123
OCT 2023 to SEP 2024,CA-526,Native Hawaiian or Pacific Islander,Race Alone,*
OCT 2023 to SEP 2024,CA-526,Native Hawaiian or Pacific Islander,Race Combination,12
OCT 2023 to SEP 2024,CA-526,White,Race Alone,683
OCT 2023 to SEP 2024,CA-526,White,Race Combination,145
OCT 2023 to SEP 2024,CA-526,Middle Eastern or North African,Race Alone,*
OCT 2023 to SEP 2024,CA-526,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-527,"American Indian, Alaska Native, or Indigenous",Race Alone,18
OCT 2023 to SEP 2024,CA-527,"American Indian, Alaska Native, or Indigenous",Race Combination,33
OCT 2023 to SEP 2024,CA-527,Asian or Asian American,Race Alone,*
OCT 2023 to SEP 2024,CA-527,Asian or Asian American,Race Combination,*
OCT 2023 to SEP 2024,CA-527,"Black, African American, or African",Race Alone,15
OCT 2023 to SEP 2024,CA-527,"Black, African American, or African",Race Combination,*
OCT 2023 to SEP 2024,CA-527,Hispanic/Latina/e/o,Race Alone,42
OCT 2023 to SEP 2024,CA-527,Hispanic/Latina/e/o,Race Combination,73
OCT 2023 to SEP 2024,CA-527,Native Hawaiian or Pacific Islander,Race Alone,*
OCT 2023 to SEP 2024,CA-527,Native Hawaiian or Pacific Islander,Race Combination,*
OCT 2023 to SEP 2024,CA-527,White,Race Alone,490
OCT 2023 to SEP 2024,CA-527,White,Race Combination,94
OCT 2023 to SEP 2024,CA-527,Middle Eastern or North African,Race Alone,*
OCT 2023 to SEP 2024,CA-527,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-529,"American Indian, Alaska Native, or Indigenous",Race Alone,27
OCT 2023 to SEP 2024,CA-529,"American Indian, Alaska Native, or Indigenous",Race Combination,18
OCT 2023 to SEP 2024,CA-529,Asian or Asian American,Race Alone,*
OCT 2023 to SEP 2024,CA-529,Asian or Asian American,Race Combination,*
OCT 2023 to SEP 2024,CA-529,"Black, African American, or African",Race Alone,*
OCT 2023 to SEP 2024,CA-529,"Black, African American, or African",Race Combination,*
OCT 2023 to SEP 2024,CA-529,Hispanic/Latina/e/o,Race Alone,18
OCT 2023 to SEP 2024,CA-529,Hispanic/Latina/e/o,Race Combination,32
OCT 2023 to SEP 2024,CA-529,Native Hawaiian or Pacific Islander,Race Alone,*
OCT 2023 to SEP 2024,CA-529,Native Hawaiian or Pacific Islander,Race Combination,*
OCT 2023 to SEP 2024,CA-529,White,Race Alone,186
OCT 2023 to SEP 2024,CA-529,White,Race Combination,32
OCT 2023 to SEP 2024,CA-529,Middle Eastern or North African,Race Alone,*
OCT 2023 to SEP 2024,CA-529,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-530,"American Indian, Alaska Native, or Indigenous",Race Alone,19
OCT 2023 to SEP 2024,CA-530,"American Indian, Alaska Native, or Indigenous",Race Combination,*
OCT 2023 to SEP 2024,CA-530,Asian or Asian American,Race Alone,*
OCT 2023 to SEP 2024,CA-530,Asian or Asian American,Race Combination,*
OCT 2023 to SEP 2024,CA-530,"Black, African American, or African",Race Alone,*
OCT 2023 to SEP 2024,CA-530,"Black, African American, or African",Race Combination,*
OCT 2023 to SEP 2024,CA-530,Hispanic/Latina/e/o,Race Alone,*
OCT 2023 to SEP 2024,CA-530,Hispanic/Latina/e/o,Race Combination,28
OCT 2023 to SEP 2024,CA-530,Native Hawaiian or Pacific Islander,Race Alone,*
OCT 2023 to SEP 2024,CA-530,Native Hawaiian or Pacific Islander,Race Combination,*
OCT 2023 to SEP 2024,CA-530,White,Race Alone,39
OCT 2023 to SEP 2024,CA-530,White,Race Combination,24
OCT 2023 to SEP 2024,CA-530,Middle Eastern or North African,Race Alone,*
OCT 2023 to SEP 2024,CA-530,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-531,"American Indian, Alaska Native, or Indigenous",Race Alone,39
OCT 2023 to SEP 2024,CA-531,"American Indian, Alaska Native, or Indigenous",Race Combination,45
OCT 2023 to SEP 2024,CA-531,Asian or Asian American,Race Alone,*
OCT 2023 to SEP 2024,CA-531,Asian or Asian American,Race Combination,*
OCT 2023 to SEP 2024,CA-531,"Black, African American, or African",Race Alone,37
OCT 2023 to SEP 2024,CA-531,"Black, African American, or African",Race Combination,14
OCT 2023 to SEP 2024,CA-531,Hispanic/Latina/e/o,Race Alone,37
OCT 2023 to SEP 2024,CA-531,Hispanic/Latina/e/o,Race Combination,81
OCT 2023 to SEP 2024,CA-531,Native Hawaiian or Pacific Islander,Race Alone,*
OCT 2023 to SEP 2024,CA-531,Native Hawaiian or Pacific Islander,Race Combination,*
OCT 2023 to SEP 2024,CA-531,White,Race Alone,888
OCT 2023 to SEP 2024,CA-531,White,Race Combination,115
OCT 2023 to SEP 2024,CA-531,Middle Eastern or North African,Race Alone,*
OCT 2023 to SEP 2024,CA-531,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-600,"American Indian, Alaska Native, or Indigenous",Race Alone,584
OCT 2023 to SEP 2024,CA-600,"American Indian, Alaska Native, or Indigenous",Race Combination,1329
OCT 2023 to SEP 2024,CA-600,Asian or Asian American,Race Alone,1296
OCT 2023 to SEP 2024,CA-600,Asian or Asian American,Race Combination,318
OCT 2023 to SEP 2024,CA-600,"Black, African American, or African",Race Alone,34448
OCT 2023 to SEP 2024,CA-600,"Black, African American, or African",Race Combination,2397
OCT 2023 to SEP 2024,CA-600,Hispanic/Latina/e/o,Race Alone,17357
OCT 2023 to SEP 2024,CA-600,Hispanic/Latina/e/o,Race Combination,22136
OCT 2023 to SEP 2024,CA-600,Native Hawaiian or Pacific Islander,Race Alone,451
OCT 2023 to SEP 2024,CA-600,Native Hawaiian or Pacific Islander,Race Combination,489
OCT 2023 to SEP 2024,CA-600,White,Race Alone,18275
OCT 2023 to SEP 2024,CA-600,White,Race Combination,20619
OCT 2023 to SEP 2024,CA-600,Middle Eastern or North African,Race Alone,217
OCT 2023 to SEP 2024,CA-600,Middle Eastern or North African,Race Combination,37
OCT 2023 to SEP 2024,CA-601,"American Indian, Alaska Native, or Indigenous",Race Alone,316
OCT 2023 to SEP 2024,CA-601,"American Indian, Alaska Native, or Indigenous",Race Combination,582
OCT 2023 to SEP 2024,CA-601,Asian or Asian American,Race Alone,458
OCT 2023 to SEP 2024,CA-601,Asian or Asian American,Race Combination,285
OCT 2023 to SEP 2024,CA-601,"Black, African American, or African",Race Alone,6058
OCT 2023 to SEP 2024,CA-601,"Black, African American, or African",Race Combination,1269
OCT 2023 to SEP 2024,CA-601,Hispanic/Latina/e/o,Race Alone,3204
OCT 2023 to SEP 2024,CA-601,Hispanic/Latina/e/o,Race Combination,6041
OCT 2023 to SEP 2024,CA-601,Native Hawaiian or Pacific Islander,Race Alone,372
OCT 2023 to SEP 2024,CA-601,Native Hawaiian or Pacific Islander,Race Combination,379
OCT 2023 to SEP 2024,CA-601,White,Race Alone,8504
OCT 2023 to SEP 2024,CA-601,White,Race Combination,5483
OCT 2023 to SEP 2024,CA-601,Middle Eastern or North African,Race Alone,335
OCT 2023 to SEP 2024,CA-601,Middle Eastern or North African,Race Combination,123
OCT 2023 to SEP 2024,CA-602,"American Indian, Alaska Native, or Indigenous",Race Alone,169
OCT 2023 to SEP 2024,CA-602,"American Indian, Alaska Native, or Indigenous",Race Combination,535
OCT 2023 to SEP 2024,CA-602,Asian or Asian American,Race Alone,529
OCT 2023 to SEP 2024,CA-602,Asian or Asian American,Race Combination,172
OCT 2023 to SEP 2024,CA-602,"Black, African American, or African",Race Alone,2082
OCT 2023 to SEP 2024,CA-602,"Black, African American, or African",Race Combination,455
OCT 2023 to SEP 2024,CA-602,Hispanic/Latina/e/o,Race Alone,4437
OCT 2023 to SEP 2024,CA-602,Hispanic/Latina/e/o,Race Combination,5826
OCT 2023 to SEP 2024,CA-602,Native Hawaiian or Pacific Islander,Race Alone,231
OCT 2023 to SEP 2024,CA-602,Native Hawaiian or Pacific Islander,Race Combination,152
OCT 2023 to SEP 2024,CA-602,White,Race Alone,6790
OCT 2023 to SEP 2024,CA-602,White,Race Combination,5462
OCT 2023 to SEP 2024,CA-602,Middle Eastern or North African,Race Alone,80
OCT 2023 to SEP 2024,CA-602,Middle Eastern or North African,Race Combination,18
OCT 2023 to SEP 2024,CA-603,"American Indian, Alaska Native, or Indigenous",Race Alone,63
OCT 2023 to SEP 2024,CA-603,"American Indian, Alaska Native, or Indigenous",Race Combination,168
OCT 2023 to SEP 2024,CA-603,Asian or Asian American,Race Alone,40
OCT 2023 to SEP 2024,CA-603,Asian or Asian American,Race Combination,30
OCT 2023 to SEP 2024,CA-603,"Black, African American, or African",Race Alone,312
OCT 2023 to SEP 2024,CA-603,"Black, African American, or African",Race Combination,99
OCT 2023 to SEP 2024,CA-603,Hispanic/Latina/e/o,Race Alone,849
OCT 2023 to SEP 2024,CA-603,Hispanic/Latina/e/o,Race Combination,1532
OCT 2023 to SEP 2024,CA-603,Native Hawaiian or Pacific Islander,Race Alone,20
OCT 2023 to SEP 2024,CA-603,Native Hawaiian or Pacific Islander,Race Combination,27
OCT 2023 to SEP 2024,CA-603,White,Race Alone,1579
OCT 2023 to SEP 2024,CA-603,White,Race Combination,1467
OCT 2023 to SEP 2024,CA-603,Middle Eastern or North African,Race Alone,*
OCT 2023 to SEP 2024,CA-603,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-604,"American Indian, Alaska Native, or Indigenous",Race Alone,111
OCT 2023 to SEP 2024,CA-604,"American Indian, Alaska Native, or Indigenous",Race Combination,191
OCT 2023 to SEP 2024,CA-604,Asian or Asian American,Race Alone,51
OCT 2023 to SEP 2024,CA-604,Asian or Asian American,Race Combination,31
OCT 2023 to SEP 2024,CA-604,"Black, African American, or African",Race Alone,1584
OCT 2023 to SEP 2024,CA-604,"Black, African American, or African",Race Combination,249
OCT 2023 to SEP 2024,CA-604,Hispanic/Latina/e/o,Race Alone,1019
OCT 2023 to SEP 2024,CA-604,Hispanic/Latina/e/o,Race Combination,2012
OCT 2023 to SEP 2024,CA-604,Native Hawaiian or Pacific Islander,Race Alone,30
OCT 2023 to SEP 2024,CA-604,Native Hawaiian or Pacific Islander,Race Combination,38
OCT 2023 to SEP 2024,CA-604,White,Race Alone,2715
OCT 2023 to SEP 2024,CA-604,White,Race Combination,2009
OCT 2023 to SEP 2024,CA-604,Middle Eastern or North African,Race Alone,*
OCT 2023 to SEP 2024,CA-604,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-606,"American Indian, Alaska Native, or Indigenous",Race Alone,53
OCT 2023 to SEP 2024,CA-606,"American Indian, Alaska Native, or Indigenous",Race Combination,112
OCT 2023 to SEP 2024,CA-606,Asian or Asian American,Race Alone,131
OCT 2023 to SEP 2024,CA-606,Asian or Asian American,Race Combination,35
OCT 2023 to SEP 2024,CA-606,"Black, African American, or African",Race Alone,2578
OCT 2023 to SEP 2024,CA-606,"Black, African American, or African",Race Combination,172
OCT 2023 to SEP 2024,CA-606,Hispanic/Latina/e/o,Race Alone,685
OCT 2023 to SEP 2024,CA-606,Hispanic/Latina/e/o,Race Combination,1042
OCT 2023 to SEP 2024,CA-606,Native Hawaiian or Pacific Islander,Race Alone,59
OCT 2023 to SEP 2024,CA-606,Native Hawaiian or Pacific Islander,Race Combination,27
OCT 2023 to SEP 2024,CA-606,White,Race Alone,1513
OCT 2023 to SEP 2024,CA-606,White,Race Combination,970
OCT 2023 to SEP 2024,CA-606,Middle Eastern or North African,Race Alone,*
OCT 2023 to SEP 2024,CA-606,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-607,"American Indian, Alaska Native, or Indigenous",Race Alone,*
OCT 2023 to SEP 2024,CA-607,"American Indian, Alaska Native, or Indigenous",Race Combination,33
OCT 2023 to SEP 2024,CA-607,Asian or Asian American,Race Alone,14
OCT 2023 to SEP 2024,CA-607,Asian or Asian American,Race Combination,*
OCT 2023 to SEP 2024,CA-607,"Black, African American, or African",Race Alone,526
OCT 2023 to SEP 2024,CA-607,"Black, African American, or African",Race Combination,53
OCT 2023 to SEP 2024,CA-607,Hispanic/Latina/e/o,Race Alone,187
OCT 2023 to SEP 2024,CA-607,Hispanic/Latina/e/o,Race Combination,363
OCT 2023 to SEP 2024,CA-607,Native Hawaiian or Pacific Islander,Race Alone,*
OCT 2023 to SEP 2024,CA-607,Native Hawaiian or Pacific Islander,Race Combination,*
OCT 2023 to SEP 2024,CA-607,White,Race Alone,271
OCT 2023 to SEP 2024,CA-607,White,Race Combination,339
OCT 2023 to SEP 2024,CA-607,Middle Eastern or North African,Race Alone,*
OCT 2023 to SEP 2024,CA-607,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-608,"American Indian, Alaska Native, or Indigenous",Race Alone,129
OCT 2023 to SEP 2024,CA-608,"American Indian, Alaska Native, or Indigenous",Race Combination,190
OCT 2023 to SEP 2024,CA-608,Asian or Asian American,Race Alone,142
OCT 2023 to SEP 2024,CA-608,Asian or Asian American,Race Combination,45
OCT 2023 to SEP 2024,CA-608,"Black, African American, or African",Race Alone,3079
OCT 2023 to SEP 2024,CA-608,"Black, African American, or African",Race Combination,419
OCT 2023 to SEP 2024,CA-608,Hispanic/Latina/e/o,Race Alone,2464
OCT 2023 to SEP 2024,CA-608,Hispanic/Latina/e/o,Race Combination,3214
OCT 2023 to SEP 2024,CA-608,Native Hawaiian or Pacific Islander,Race Alone,78
OCT 2023 to SEP 2024,CA-608,Native Hawaiian or Pacific Islander,Race Combination,78
OCT 2023 to SEP 2024,CA-608,White,Race Alone,4121
OCT 2023 to SEP 2024,CA-608,White,Race Combination,3060
OCT 2023 to SEP 2024,CA-608,Middle Eastern or North African,Race Alone,27
OCT 2023 to SEP 2024,CA-608,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-609,"American Indian, Alaska Native, or Indigenous",Race Alone,71
OCT 2023 to SEP 2024,CA-609,"American Indian, Alaska Native, or Indigenous",Race Combination,123
OCT 2023 to SEP 2024,CA-609,Asian or Asian American,Race Alone,38
OCT 2023 to SEP 2024,CA-609,Asian or Asian American,Race Combination,26
OCT 2023 to SEP 2024,CA-609,"Black, African American, or African",Race Alone,3117
OCT 2023 to SEP 2024,CA-609,"Black, African American, or African",Race Combination,303
OCT 2023 to SEP 2024,CA-609,Hispanic/Latina/e/o,Race Alone,873
OCT 2023 to SEP 2024,CA-609,Hispanic/Latina/e/o,Race Combination,1902
OCT 2023 to SEP 2024,CA-609,Native Hawaiian or Pacific Islander,Race Alone,62
OCT 2023 to SEP 2024,CA-609,Native Hawaiian or Pacific Islander,Race Combination,29
OCT 2023 to SEP 2024,CA-609,White,Race Alone,1746
OCT 2023 to SEP 2024,CA-609,White,Race Combination,1747
OCT 2023 to SEP 2024,CA-609,Middle Eastern or North African,Race Alone,*
OCT 2023 to SEP 2024,CA-609,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-611,"American Indian, Alaska Native, or Indigenous",Race Alone,22
OCT 2023 to SEP 2024,CA-611,"American Indian, Alaska Native, or Indigenous",Race Combination,76
OCT 2023 to SEP 2024,CA-611,Asian or Asian American,Race Alone,25
OCT 2023 to SEP 2024,CA-611,Asian or Asian American,Race Combination,*
OCT 2023 to SEP 2024,CA-611,"Black, African American, or African",Race Alone,256
OCT 2023 to SEP 2024,CA-611,"Black, African American, or African",Race Combination,58
OCT 2023 to SEP 2024,CA-611,Hispanic/Latina/e/o,Race Alone,374
OCT 2023 to SEP 2024,CA-611,Hispanic/Latina/e/o,Race Combination,1129
OCT 2023 to SEP 2024,CA-611,Native Hawaiian or Pacific Islander,Race Alone,13
OCT 2023 to SEP 2024,CA-611,Native Hawaiian or Pacific Islander,Race Combination,22
OCT 2023 to SEP 2024,CA-611,White,Race Alone,1202
OCT 2023 to SEP 2024,CA-611,White,Race Combination,1159
OCT 2023 to SEP 2024,CA-611,Middle Eastern or North African,Race Alone,*
OCT 2023 to SEP 2024,CA-611,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-612,"American Indian, Alaska Native, or Indigenous",Race Alone,*
OCT 2023 to SEP 2024,CA-612,"American Indian, Alaska Native, or Indigenous",Race Combination,*
OCT 2023 to SEP 2024,CA-612,Asian or Asian American,Race Alone,17
OCT 2023 to SEP 2024,CA-612,Asian or Asian American,Race Combination,*
OCT 2023 to SEP 2024,CA-612,"Black, African American, or African",Race Alone,243
OCT 2023 to SEP 2024,CA-612,"Black, African American, or African",Race Combination,15
OCT 2023 to SEP 2024,CA-612,Hispanic/Latina/e/o,Race Alone,88
OCT 2023 to SEP 2024,CA-612,Hispanic/Latina/e/o,Race Combination,139
OCT 2023 to SEP 2024,CA-612,Native Hawaiian or Pacific Islander,Race Alone,*
OCT 2023 to SEP 2024,CA-612,Native Hawaiian or Pacific Islander,Race Combination,*
OCT 2023 to SEP 2024,CA-612,White,Race Alone,231
OCT 2023 to SEP 2024,CA-612,White,Race Combination,134
OCT 2023 to SEP 2024,CA-612,Middle Eastern or North African,Race Alone,21
OCT 2023 to SEP 2024,CA-612,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-613,"American Indian, Alaska Native, or Indigenous",Race Alone,*
OCT 2023 to SEP 2024,CA-613,"American Indian, Alaska Native, or Indigenous",Race Combination,*
OCT 2023 to SEP 2024,CA-613,Asian or Asian American,Race Alone,*
OCT 2023 to SEP 2024,CA-613,Asian or Asian American,Race Combination,*
OCT 2023 to SEP 2024,CA-613,"Black, African American, or African",Race Alone,66
OCT 2023 to SEP 2024,CA-613,"Black, African American, or African",Race Combination,38
OCT 2023 to SEP 2024,CA-613,Hispanic/Latina/e/o,Race Alone,317
OCT 2023 to SEP 2024,CA-613,Hispanic/Latina/e/o,Race Combination,1166
OCT 2023 to SEP 2024,CA-613,Native Hawaiian or Pacific Islander,Race Alone,*
OCT 2023 to SEP 2024,CA-613,Native Hawaiian or Pacific Islander,Race Combination,15
OCT 2023 to SEP 2024,CA-613,White,Race Alone,141
OCT 2023 to SEP 2024,CA-613,White,Race Combination,1140
OCT 2023 to SEP 2024,CA-613,Middle Eastern or North African,Race Alone,*
OCT 2023 to SEP 2024,CA-613,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-614,"American Indian, Alaska Native, or Indigenous",Race Alone,39
OCT 2023 to SEP 2024,CA-614,"American Indian, Alaska Native, or Indigenous",Race Combination,141
OCT 2023 to SEP 2024,CA-614,Asian or Asian American,Race Alone,18
OCT 2023 to SEP 2024,CA-614,Asian or Asian American,Race Combination,36
OCT 2023 to SEP 2024,CA-614,"Black, African American, or African",Race Alone,143
OCT 2023 to SEP 2024,CA-614,"Black, African American, or African",Race Combination,138
OCT 2023 to SEP 2024,CA-614,Hispanic/Latina/e/o,Race Alone,460
OCT 2023 to SEP 2024,CA-614,Hispanic/Latina/e/o,Race Combination,885
OCT 2023 to SEP 2024,CA-614,Native Hawaiian or Pacific Islander,Race Alone,18
OCT 2023 to SEP 2024,CA-614,Native Hawaiian or Pacific Islander,Race Combination,38
OCT 2023 to SEP 2024,CA-614,White,Race Alone,1591
OCT 2023 to SEP 2024,CA-614,White,Race Combination,911
OCT 2023 to SEP 2024,CA-614,Middle Eastern or North African,Race Alone,*
OCT 2023 to SEP 2024,CA-614,Middle Eastern or North African,Race Combination,*
