CALENDAR_YEAR,LOCATION_ID,GROUPING,SUB,EXPERIENCING_HOMELESSNESS_CNT
OCT 2023 to SEP 2024,CA-503,Middle Eastern or North African,Race Combination,12
OCT 2023 to SEP 2024,CA-504,"American Indian, Alaska Native, or Indigenous",Race Alone,129
OCT 2023 to SEP 2024,CA-504,"American Indian, Alaska Native, or Indigenous",Race Combination,322
OCT 2023 to SEP 2024,CA-504,Asian or Asian American,Race Alone,27
OCT 2023 to SEP 2024,CA-504,Asian or Asian American,Race Combination,15
OCT 2023 to SEP 2024,CA-504,"Black, African American, or African",Race Alone,272
OCT 2023 to SEP 2024,CA-504,"Black, African American, or African",Race Combination,139
OCT 2023 to SEP 2024,CA-504,Hispanic/Latina/e/o,Race Alone,529
OCT 2023 to SEP 2024,CA-504,Hispanic/Latina/e/o,Race Combination,612
OCT 2023 to SEP 2024,CA-504,Native Hawaiian or Pacific Islander,Race Alone,28
OCT 2023 to SEP 2024,CA-504,Native Hawaiian or Pacific Islander,Race Combination,39
OCT 2023 to SEP 2024,CA-504,White,Race Alone,1913
OCT 2023 to SEP 2024,CA-504,White,Race Combination,542
OCT 2023 to SEP 2024,CA-504,Middle Eastern or North African,Race Alone,*
OCT 2023 to SEP 2024,CA-504,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-505,"American Indian, Alaska Native, or Indigenous",Race Alone,40
OCT 2023 to SEP 2024,CA-505,"American Indian, Alaska Native, or Indigenous",Race Combination,148
OCT 2023 to SEP 2024,CA-505,Asian or Asian American,Race Alone,57
OCT 2023 to SEP 2024,CA-505,Asian or Asian American,Race Combination,43
OCT 2023 to SEP 2024,CA-505,"Black, African American, or African",Race Alone,1419
OCT 2023 to SEP 2024,CA-505,"Black, African American, or African",Race Combination,193
OCT 2023 to SEP 2024,CA-505,Hispanic/Latina/e/o,Race Alone,170
OCT 2023 to SEP 2024,CA-505,Hispanic/Latina/e/o,Race Combination,439
OCT 2023 to SEP 2024,CA-505,Native Hawaiian or Pacific Islander,Race Alone,60
OCT 2023 to SEP 2024,CA-505,Native Hawaiian or Pacific Islander,Race Combination,40
OCT 2023 to SEP 2024,CA-505,White,Race Alone,767
OCT 2023 to SEP 2024,CA-505,White,Race Combination,406
OCT 2023 to SEP 2024,CA-505,Middle Eastern or North African,Race Alone,*
OCT 2023 to SEP 2024,CA-505,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-506,"American Indian, Alaska Native, or Indigenous",Race Alone,37
OCT 2023 to SEP 2024,CA-506,"American Indian, Alaska Native, or Indigenous",Race Combination,142
OCT 2023 to SEP 2024,CA-506,Asian or Asian American,Race Alone,33
OCT 2023 to SEP 2024,CA-506,Asian or Asian American,Race Combination,37
